Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
0bc6e164-b36f-42de-b240-210b454849b3,"2020-06-02, 12:43:14 AM",root,DescribeConfigurationRecorders,,,,us-east-1,,71.127.58.184
2791d95c-faaa-4798-b0fc-4832362fb482,"2020-06-02, 12:43:14 AM",root,DescribeConfigurationRecorderStatus,,,,us-east-1,,71.127.58.184
5cf2c519-13ad-4671-a614-d852da2343c2,"2020-06-02, 12:43:14 AM",root,LookupEvents,,,,us-east-1,,71.127.58.184
be3128df-2abc-4815-abeb-61b22e602657,"2020-06-02, 12:43:13 AM",root,ListBuckets,,,,us-east-1,,71.127.58.184
bad41481-1d09-4f9b-adef-59e6e13d62dd,"2020-06-02, 12:43:01 AM",root,DescribeEventAggregates,,,,us-east-1,,71.127.58.184
9e8b8064-b274-4626-8c9d-a3150f531385,"2020-06-02, 12:40:06 AM",CloudTrail,LookupEvents,,,,us-east-1,,71.127.58.184
b4774822-c7d8-467e-86b9-e5b08da47862,"2020-06-02, 12:40:06 AM",CloudTrail,DescribeConfigurationRecorders,,,,us-east-1,AccessDenied,71.127.58.184
f1a40e37-5ff5-4200-a95e-d99836c02431,"2020-06-02, 12:40:05 AM",CloudTrail,DescribeTrails,,,,us-east-1,,71.127.58.184
3443826a-f022-4248-8289-41ff85abdb89,"2020-06-02, 12:39:53 AM",CloudTrail,GetAccountPublicAccessBlock,,,,us-east-1,AccessDenied,71.127.58.184
763131b2-4291-45be-9775-6becbb25ba4c,"2020-06-02, 12:39:53 AM",CloudTrail,GetAccountPublicAccessBlock,,,,us-east-1,AccessDenied,71.127.58.184
d096c20e-28fa-4b50-89be-76b063598e4c,"2020-06-02, 12:39:53 AM",CloudTrail,GetBucketPublicAccessBlock,,,,us-east-1,AccessDenied,71.127.58.184
03aa95ce-4519-41fe-8395-f0877a4040e7,"2020-06-02, 12:39:52 AM",CloudTrail,GetBucketVersioning,,,,us-east-1,AccessDenied,71.127.58.184
3e6c04ce-c776-4cfb-a9a9-5f7f1ddad306,"2020-06-02, 12:39:52 AM",CloudTrail,GetBucketEncryption,,,,us-east-1,AccessDenied,71.127.58.184
95b95bf6-84af-4d9c-bf0c-94323b627835,"2020-06-02, 12:39:52 AM",CloudTrail,GetBucketPublicAccessBlock,,,,us-east-1,AccessDenied,71.127.58.184
b52b96ec-0961-44cd-9c2e-fa6adad58d1e,"2020-06-02, 12:39:52 AM",CloudTrail,GetAccountPublicAccessBlock,,,,us-east-1,AccessDenied,71.127.58.184
de5e35be-f955-444c-bcb7-e198473bbe74,"2020-06-02, 12:39:52 AM",CloudTrail,ListBuckets,,,,us-east-1,,71.127.58.184
1108ac5d-95be-46c6-a9ac-dc0a36744ae7,"2020-06-02, 12:39:49 AM",CloudTrail,GetBucketPublicAccessBlock,,,,us-east-1,AccessDenied,71.127.58.184
ccc117e0-33d2-4660-8127-992c8cd0c3d2,"2020-06-02, 12:39:49 AM",CloudTrail,GetAccountPublicAccessBlock,,,,us-east-1,AccessDenied,71.127.58.184
f4013ba9-666a-463d-9f56-19141ff13282,"2020-06-02, 12:39:49 AM",CloudTrail,DescribeEventAggregates,,,,us-east-1,AccessDenied,71.127.58.184
1f97bf1e-fc90-4343-b89a-fe4c132caa40,"2020-06-02, 12:39:44 AM",CloudTrail,GetBucketPublicAccessBlock,,,,us-east-1,AccessDenied,71.127.58.184
7a57e753-7f2f-4aa8-917e-2e8f5766b382,"2020-06-02, 12:39:44 AM",CloudTrail,GetAccountPublicAccessBlock,,,,us-east-1,AccessDenied,71.127.58.184
1c7b5cb9-54f1-4f8a-b507-54aebd1e6101,"2020-06-02, 12:39:37 AM",CloudTrail,GetBucketPublicAccessBlock,,,,us-east-1,AccessDenied,71.127.58.184
771f710e-87df-4b44-ac47-21c489bf86c8,"2020-06-02, 12:39:37 AM",CloudTrail,GetAccountPublicAccessBlock,,,,us-east-1,AccessDenied,71.127.58.184
2cc33175-a2f9-4419-990d-0b619b1ae9d1,"2020-06-02, 12:39:34 AM",CloudTrail,GetAccountPublicAccessBlock,,,,us-east-1,AccessDenied,71.127.58.184
5b77770b-dcf3-4b5c-8fed-3f4b243c12e2,"2020-06-02, 12:39:34 AM",CloudTrail,GetAccountPublicAccessBlock,,,,us-east-1,AccessDenied,71.127.58.184
6f99c1d9-0277-4a81-968f-8667ef241041,"2020-06-02, 12:39:34 AM",CloudTrail,GetBucketPublicAccessBlock,,,,us-east-1,AccessDenied,71.127.58.184
a93a6e9b-51b0-4e8a-8db8-e6ad0415b7e9,"2020-06-02, 12:39:34 AM",CloudTrail,GetAccountPublicAccessBlock,,,,us-east-1,AccessDenied,71.127.58.184
abd9af3c-adb4-4d5a-a9ba-1ebb866364d0,"2020-06-02, 12:39:34 AM",CloudTrail,GetBucketEncryption,,,,us-east-1,AccessDenied,71.127.58.184
b6b7439f-0422-48b3-80b5-8be0dc545167,"2020-06-02, 12:39:34 AM",CloudTrail,ListBuckets,,,,us-east-1,,71.127.58.184
d2941688-ca5e-4fcc-a5bb-d838b2dac70f,"2020-06-02, 12:39:34 AM",CloudTrail,GetBucketPublicAccessBlock,,,,us-east-1,AccessDenied,71.127.58.184
e2a5a2c3-757c-4382-900b-ad01950d27eb,"2020-06-02, 12:39:34 AM",CloudTrail,GetBucketVersioning,,,,us-east-1,AccessDenied,71.127.58.184
2b479ea4-bc0c-4c30-aee4-b57ddfc2691c,"2020-06-02, 12:39:32 AM",CloudTrail,GetBucketVersioning,,,,us-east-1,AccessDenied,71.127.58.184
460bdd76-e114-46b1-995d-33eb97ddf4bc,"2020-06-02, 12:39:32 AM",CloudTrail,ListBuckets,,,,us-east-1,,71.127.58.184
63f8aa98-a860-4225-8fca-29d812a9a33e,"2020-06-02, 12:39:32 AM",CloudTrail,GetBucketPublicAccessBlock,,,,us-east-1,AccessDenied,71.127.58.184
964d7a68-6bae-4a60-a184-777db408742e,"2020-06-02, 12:39:32 AM",CloudTrail,GetAccountPublicAccessBlock,,,,us-east-1,AccessDenied,71.127.58.184
ae09fbbb-7f15-4324-a773-3dc295caca3d,"2020-06-02, 12:39:32 AM",CloudTrail,GetBucketPublicAccessBlock,,,,us-east-1,AccessDenied,71.127.58.184
e7a2a51a-9068-427e-ba10-c3ca4b8e05e6,"2020-06-02, 12:39:32 AM",CloudTrail,GetBucketEncryption,,,,us-east-1,AccessDenied,71.127.58.184
30477092-97fa-449b-8715-705a14e69f7b,"2020-06-02, 12:39:30 AM",CloudTrail,GetAccountPublicAccessBlock,,,,us-east-1,AccessDenied,71.127.58.184
32a09f95-892c-46ad-af1b-ce3df4b16c32,"2020-06-02, 12:39:30 AM",CloudTrail,GetAccountPublicAccessBlock,,,,us-east-1,AccessDenied,71.127.58.184
440489bf-e02a-4a07-bb49-35a89e7afb02,"2020-06-02, 12:39:30 AM",CloudTrail,GetBucketEncryption,,,,us-east-1,AccessDenied,71.127.58.184
4de80964-1cda-480a-9937-cd165f3be350,"2020-06-02, 12:39:28 AM",CloudTrail,GetBucketPublicAccessBlock,,,,us-east-1,AccessDenied,71.127.58.184
52395f48-e94d-49b8-b496-edb8ea6206b9,"2020-06-02, 12:39:28 AM",CloudTrail,GetBucketEncryption,,,,us-east-1,AccessDenied,71.127.58.184
6f601af1-efc3-4e73-8dac-f38a51960c49,"2020-06-02, 12:39:28 AM",CloudTrail,GetAccountPublicAccessBlock,,,,us-east-1,AccessDenied,71.127.58.184
96d8d657-08cb-4ccc-8a8f-63cd204fd680,"2020-06-02, 12:39:28 AM",CloudTrail,GetAccountPublicAccessBlock,,,,us-east-1,AccessDenied,71.127.58.184
e900b46c-4298-4f59-bea1-eb0f3c990079,"2020-06-02, 12:39:28 AM",CloudTrail,GetAccountPublicAccessBlock,,,,us-east-1,AccessDenied,71.127.58.184
07482aac-8f09-40b3-adc9-5b1555b6024d,"2020-06-02, 12:39:21 AM",CloudTrail,DescribeEventAggregates,,,,us-east-1,AccessDenied,71.127.58.184
392e37d9-9534-4d11-9695-4bd32fd56d45,"2020-06-02, 12:38:10 AM",CloudTrail,GetBucketPublicAccessBlock,,,,us-east-1,AccessDenied,71.127.58.184
465e032f-ae1d-4fb6-8de9-608f1e3cd612,"2020-06-02, 12:38:10 AM",CloudTrail,GetBucketVersioning,,,,us-east-1,AccessDenied,71.127.58.184
482f47e7-e1ea-44cf-9cd4-ea35cbecb7dd,"2020-06-02, 12:38:10 AM",CloudTrail,GetBucketEncryption,,,,us-east-1,AccessDenied,71.127.58.184
